id	lens	primary_regex	secondary_regex	description
T1	L3-drift	(notification|toast|no confirmation|visual indication)	(stale|does not update|not update|no.*sync)	silent record creation (order created with no notification/toast) + edited source doc does not propagate -> stale-value risk goes unnoticed
T2	L6-unresolved-dep	(custom field)	(order (header|line)|not.*(mentioned|introduced)|defined.*for order)	custom fields referenced for Order/OrderLine/OrderHeader before any prior definition of them; sync/definition mechanism unclear
T3	L1-jargon	(API name)	(header)	"API name" and "header" used without a definition on first use
T4	L1-jargon	(bill-to|billing recipient|請求先)	(snapshot|creation time|stored|what.*copied)	client/bill-to snapshot: where is it stored, what exactly counts as "creation time", full record or a field subset
T5	L2-cross-doc	(revert|repeat.*status|Ordered.*Issued.*Ordered)	(archive|non-archived|US-0)	an AC allowing a repeated status transition contradicts a sibling story's "cannot move phase back while an order exists" rule
T6	L4-state-machine	(un-?archive|unarchiv)	(estimate|active (order|contract)|entity)	edge-case state transition (un-archiving) undefined + overloaded shorthand notation conflates entity-count with active-contract-count
T7	L5-impl-ground-truth	(field name|column|label)	(dev environment|schema|does not match|mismatch|screenshot)	spec's field/column names do not match the actual running app / schema
T8	L1-jargon	(confirmed agreement)		vague business term used without a plain definition
T9	L1-jargon	(API name matches|worked example|delivery_site)	(example)	a copy/matching rule stated without a worked example, leaving the mechanism ambiguous
T10	L8-external-authority	(rounding|tax code|calculation rule|税区分)	(estimate|invoice|transaction|external|slide|doc)	behavior claimed to "inherit" or "follow the same rules as" another document/system, without that rule set being verified or linked
T11	L5-impl-ground-truth	(billee|bill-to|BillingInformation)	(existing|already (exists|have)|new concept|current product)	a reviewer assumes a concept is new/unbuilt; the doc must be checked against what the codebase already implements before treating it as new
